,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,yyyy,mm,dd,week_relative,week_absolute,Date
35,1,1546074,0,80.48,2.642,211.108,7.787,2010,9,8,35,36,9/8/2010
36,1,1430379,0,82.11,2.582,211.522,7.787,2010,9,17,36,37,9/17/2010
37,1,1351791,0,80.94,2.624,211.597,7.787,2010,9,24,37,38,9/24/2010
38,1,1429626,0,79.815,2.594,211.546,7.787,2010,10,1,38,39,10/1/2010
39,1,1507461,1,78.69,2.565,211.495,7.787,2010,10,8,39,40,10/8/2010
40,1,1571012,0,56.755,2.782,211.64,7.838,2010,10,14,40,41,10/14/2010
41,1,1345454,0,69.86,2.725,211.861,7.838,2010,10,22,41,42,10/22/2010
42,1,1384209,0,69.64,2.716,211.909,7.838,2010,10,29,42,43,10/29/2010
43,1,1542561,0,80.43,2.668,211.456,7.808,2010,11,5,43,44,11/5/2010
44,1,1513173,0,65.92,2.72,211.673,7.823,2010,11,12,44,45,11/12/2010
45,1,1483784,0,51.41,2.771,211.89,7.838,2010,11,19,45,46,11/19/2010
46,1,1955624,1,64.52,2.735,211.748,7.838,2010,11,26,46,47,11/26/2010
47,1,1540750,0,48.15,2.608,211.311,8.106,2010,12,2,47,48,12/2/2010
48,1,1494479,0,59.61,2.728,212.004,7.838,2010,12,10,48,49,12/10/2010
49,1,1891035,0,49.84,2.869,211.405,7.838,2010,12,17,49,50,12/17/2010
50,1,2387950,0,52.33,2.886,211.405,7.838,2010,12,24,50,51,12/24/2010
51,1,1367320,1,48.43,2.943,211.405,7.838,2010,12,31,51,52,12/31/2010
52,1,1429561,0,60.395,3.234,213.208,7.83,2010,1,1,52,53,1/1/2010
53,1,1491801,0,72.36,3.524,215.011,7.822,2011,1,6,53,1,1/6/2011
54,1,1391014,0,35.4,2.983,211.457,7.742,2011,1,14,54,2,1/14/2011
55,1,1327405,0,44.04,3.016,211.827,7.742,2011,1,21,55,3,1/21/2011
56,1,1316899,0,43.83,3.01,212.197,7.742,2011,1,28,56,4,1/28/2011
57,1,1442028,0,56.1,3.181,214.726,7.828,2011,2,4,57,5,2/4/2011
58,1,1567157,0,68.37,3.352,217.256,7.914,2011,2,10,58,6,2/10/2011
59,1,1686843,0,57.36,3.045,213.248,7.742,2011,2,18,59,7,2/18/2011
60,1,1456800,0,62.9,3.065,213.536,7.742,2011,2,25,60,8,2/25/2011
61,1,1635078,0,83,3.699,215.274,7.682,2011,3,5,61,9,3/5/2011
62,1,1605948,0,72.88,3.593,214.818,7.712,2011,3,11,62,10,3/11/2011
63,1,1576818,0,62.76,3.488,214.363,7.742,2011,3,18,63,11,3/18/2011
64,1,1541102,0,69.97,3.473,214.6,7.742,2011,3,25,64,12,3/25/2011
65,1,1621446,0,50.925,3.138,213.195,7.742,2011,4,2,65,13,4/2/2011
66,1,1625003,0,57.025,3.338,214.88,7.758,2011,4,8,66,14,4/8/2011
67,1,1628559,0,63.125,3.537,216.565,7.774,2011,4,13,67,15,4/13/2011
68,1,1564820,0,72.99,3.807,215.46,7.682,2011,4,22,68,16,4/22/2011
69,1,1455091,0,72.03,3.81,215.628,7.682,2011,4,29,69,17,4/29/2011
70,1,1624384,0,91.65,3.684,215.545,7.962,2011,5,7,70,18,5/7/2011
71,1,1604776,0,75.64,3.899,215.964,7.682,2011,5,13,71,19,5/13/2011
72,1,1428218,0,67.63,3.907,215.734,7.682,2011,5,20,72,20,5/20/2011
73,1,1466047,0,77.72,3.786,215.504,7.682,2011,5,27,73,21,5/27/2011
74,1,1629391,0,64.61,3.906,215.796,7.682,2011,6,4,74,22,6/4/2011
75,1,1580753,0,75.51,3.772,215.397,7.682,2011,6,10,75,23,6/10/2011
76,1,1532115,0,86.41,3.637,214.998,7.682,2011,6,17,76,24,6/17/2011
77,1,1438830,0,83.58,3.594,215.091,7.682,2011,6,24,77,25,6/24/2011
78,1,1444732,0,48.27,2.976,211.405,7.742,2011,7,1,78,26,7/1/2011
79,1,1630990,0,69.31,3.285,217.045,7.866,2011,7,9,79,27,7/9/2011
80,1,1455120,0,88.54,3.575,215.361,7.962,2011,7,15,80,28,7/15/2011
81,1,1396927,0,85.77,3.651,215.422,7.962,2011,7,22,81,29,7/22/2011
82,1,1352220,0,86.83,3.682,215.483,7.962,2011,7,29,82,30,7/29/2011
83,1,1574554,0,76.835,3.551,215.176,7.822,2011,8,5,83,31,8/5/2011
84,1,1552658,0,83.388,3.552,215.423,7.892,2011,8,12,84,32,8/12/2011
85,1,1530761,0,89.94,3.554,215.669,7.962,2011,8,19,85,33,8/19/2011
86,1,1464693,0,87.96,3.523,215.733,7.962,2011,8,26,86,34,8/26/2011
87,1,1502582,0,81.98,3.534,215.797,7.962,2011,9,2,87,35,9/2/2011
88,1,1540471,1,76,3.546,215.861,7.962,2011,9,9,88,36,9/9/2011
89,1,1656971,0,61.935,3.342,217.501,7.914,2011,9,14,89,37,9/14/2011
90,1,1380020,0,75.8,3.467,216.376,7.962,2011,9,23,90,38,9/23/2011
91,1,1394562,0,79.69,3.355,216.711,7.962,2011,9,30,91,39,9/30/2011
92,1,1588948,0,83.13,3.648,215.044,7.682,2011,10,6,92,40,10/6/2011
93,1,1493526,0,71.74,3.274,217.355,7.866,2011,10,14,93,41,10/14/2011
94,1,1502563,0,63.71,3.353,217.516,7.866,2011,10,21,94,42,10/21/2011
95,1,1445249,0,66.57,3.372,217.677,7.866,2011,10,28,95,43,10/28/2011
96,1,1601403,0,44.975,3.24,213.524,7.742,2011,11,3,96,44,11/3/2011
97,1,1594939,0,59.11,3.297,217.998,7.866,2011,11,11,97,45,11/11/2011
98,1,1539484,0,62.25,3.308,218.221,7.866,2011,11,18,98,46,11/18/2011
99,1,2033321,1,60.14,3.236,218.468,7.866,2011,11,25,99,47,11/25/2011
100,1,1779234,0,75.45,3.437,217.037,7.914,2011,12,2,100,48,12/2/2011
101,1,1525147,0,90.76,3.638,215.606,7.962,2011,12,8,101,49,12/8/2011
102,1,1881177,0,51.63,3.159,219.179,7.866,2011,12,16,102,50,12/16/2011
103,1,2270189,0,47.96,3.112,219.358,7.866,2011,12,23,103,51,12/23/2011
104,1,1497463,1,44.55,3.129,219.536,7.866,2011,12,30,104,52,12/30/2011
105,1,1624478,0,77.95,3.501,221.747,7.143,2012,1,6,105,1,1/6/2012
106,1,1459601,0,48.53,3.261,219.893,7.348,2012,1,13,106,2,1/13/2012
107,1,1394394,0,54.11,3.268,219.986,7.348,2012,1,20,107,3,1/20/2012
108,1,1319326,0,54.26,3.29,220.079,7.348,2012,1,27,108,4,1/27/2012
109,1,1688421,0,60.96,3.63,220.848,7.348,2012,2,3,109,5,2/3/2012
110,1,1754145,0,53.14,3.57,220.637,7.348,2012,2,10,110,6,2/10/2012
111,1,1819870,0,45.32,3.51,220.426,7.348,2012,2,17,111,7,2/17/2012
112,1,1539388,0,57.25,3.555,220.637,7.348,2012,2,24,112,8,2/24/2012
113,1,1636340,0,56.55,3.36,220.172,7.348,2012,3,2,113,9,3/2/2012
114,1,1631136,0,86.11,3.417,221.95,6.908,2012,3,8,114,10,3/8/2012
115,1,1677473,0,64.74,3.734,221.212,7.348,2012,3,16,115,11,3/16/2012
116,1,1511068,0,65.93,3.787,221.286,7.348,2012,3,23,116,12,3/23/2012
117,1,1649605,0,67.61,3.845,221.361,7.348,2012,3,30,117,13,3/30/2012
118,1,1684520,0,75.55,3.749,221.672,7.143,2012,4,5,118,14,4/5/2012
119,1,1621032,0,69.07,3.891,221.51,7.143,2012,4,13,119,15,4/13/2012
120,1,1521578,0,66.76,3.877,221.564,7.143,2012,4,20,120,16,4/20/2012
121,1,1468928,0,67.23,3.814,221.618,7.143,2012,4,27,121,17,4/27/2012
122,1,1569857,0,67.89,3.716,222.4,6.858,2012,5,4,122,18,5/4/2012
123,1,1670786,0,68.55,3.617,223.181,6.573,2012,5,10,123,19,5/10/2012
124,1,1595902,0,70.33,3.63,221.743,7.143,2012,5,18,124,20,5/18/2012
125,1,1555445,0,77.22,3.561,221.745,7.143,2012,5,25,125,21,5/25/2012
126,1,1550370,0,49.01,3.157,219.714,7.348,2012,6,1,126,22,6/1/2012
127,1,1834766,0,76,3.559,221.66,7.026,2012,6,6,127,23,6/6/2012
128,1,1630607,0,79.35,3.393,221.763,7.143,2012,6,15,128,24,6/15/2012
129,1,1527846,0,78.39,3.346,221.803,7.143,2012,6,22,129,25,6/22/2012
130,1,1540421,0,84.88,3.286,221.843,7.143,2012,6,29,130,26,6/29/2012
131,1,1567406,0,82.71,3.39,222.012,7.026,2012,7,6,131,27,7/6/2012
132,1,1594391,0,80.54,3.493,222.182,6.908,2012,7,11,132,28,7/11/2012
133,1,1497955,0,80.42,3.311,221.933,6.908,2012,7,20,133,29,7/20/2012
134,1,1439124,0,82.66,3.407,221.941,6.908,2012,7,27,134,30,7/27/2012
135,1,1568177,0,80.48,3.43,221.845,7.026,2012,8,3,135,31,8/3/2012
136,1,1697231,0,78.3,3.452,221.749,7.143,2012,8,8,136,32,8/8/2012
137,1,1597868,0,84.85,3.571,222.038,6.908,2012,8,17,137,33,8/17/2012
138,1,1494122,0,77.66,3.62,222.172,6.908,2012,8,24,138,34,8/24/2012
139,1,1582083,0,80.49,3.638,222.305,6.908,2012,8,31,139,35,8/31/2012
140,1,1675431,0,58.76,3.669,221.059,7.348,2012,9,5,140,36,9/5/2012
141,1,1517429,0,74.97,3.717,222.582,6.908,2012,9,14,141,37,9/14/2012
142,1,1506126,0,69.87,3.721,222.782,6.908,2012,9,21,142,38,9/21/2012
143,1,1437059,0,76.08,3.666,222.982,6.908,2012,9,28,143,39,9/28/2012
144,1,1802477,1,48.02,3.409,220.265,7.348,2012,10,3,144,40,10/3/2012
145,1,1592410,0,85.05,3.494,221.958,6.908,2012,10,10,145,41,10/10/2012
146,1,1508069,0,67.97,3.594,223.426,6.573,2012,10,19,146,42,10/19/2012
147,1,1493660,0,69.16,3.506,223.444,6.573,2012,10,26,147,43,10/26/2012
148,1,1552378,0,71.465,3.597,222.585,6.858,2012,11,2,148,44,11/2/2012
149,1,1611096,0,73.77,3.688,221.726,7.143,2012,11,7,149,45,11/7/2012
150,1,1603491,0,71.614,3.671,222.057,7.029,2012,11,16,150,46,11/16/2012
151,1,1595887,0,69.458,3.653,222.388,6.915,2012,11,23,151,47,11/23/2012
152,1,1588282,0,67.302,3.636,222.719,6.801,2012,11,30,152,48,11/30/2012
153,1,1580677,0,65.146,3.618,223.05,6.687,2012,12,7,153,49,12/7/2012
154,1,1573073,0,62.99,3.601,223.381,6.573,2012,12,12,154,50,12/12/2012
155,1,1573073,0,62.99,3.601,223.381,6.573,2012,12,21,155,51,12/21/2012
156,1,1573073,0,62.99,3.601,223.381,6.573,2012,12,28,157,52,12/28/2012
157,2,1827440,0,69.24,2.603,211.33,8.163,2010,1,9,0,1,1/9/2010
158,2,1879346,0,70.181,2.626,211.167,8.16,2010,1,15,1,2,1/15/2010
159,2,1931252,0,71.122,2.649,211.005,8.156,2010,1,22,2,3,1/22/2010
160,2,1983158,0,72.064,2.671,210.843,8.153,2010,1,29,3,4,1/29/2010
161,2,2035064,0,73.005,2.694,210.68,8.15,2010,2,5,4,5,2/5/2010
162,2,2079758,0,56.348,2.604,210.813,8.237,2010,2,12,5,6,2/12/2010
163,2,2124452,0,39.69,2.514,210.945,8.324,2010,2,19,6,7,2/19/2010
164,2,1865097,0,46.1,2.561,210.976,8.324,2010,2,26,7,8,2/26/2010
165,2,1912646,0,55.84,2.602,211.102,8.228,2010,3,5,8,9,3/5/2010
166,2,1960195,0,65.58,2.642,211.227,8.131,2010,3,11,9,10,3/11/2010
167,2,1946071,0,54.52,2.72,210.873,8.324,2010,3,19,10,11,3/19/2010
168,2,1750198,0,51.26,2.732,210.677,8.324,2010,3,26,11,12,3/26/2010
169,2,1926369,0,66.535,2.718,210.755,8.262,2010,4,2,12,13,4/2/2010
170,2,2102540,0,81.81,2.705,210.834,8.2,2010,4,7,13,14,4/7/2010
171,2,1874958,0,68.07,2.808,210.15,8.2,2010,4,16,14,15,4/16/2010
172,2,1821991,0,65.11,2.795,210.1,8.2,2010,4,23,15,16,4/23/2010
173,2,1969720,0,53.585,2.676,210.402,8.262,2010,4,20,16,17,4/20/2010
174,2,1991013,0,47.17,2.625,211.007,8.324,2010,5,5,17,18,5/5/2010
175,2,1909907,0,65.58,2.772,210.806,8.182,2010,5,13,18,19,5/13/2010
176,2,1896937,0,74.83,2.826,210.277,8.2,2010,5,21,19,20,5/21/2010
177,2,1957114,0,81.13,2.759,210.555,8.2,2010,5,28,20,21,5/28/2010
178,2,1974512,0,85.33,2.693,210.858,8.15,2010,6,4,21,22,6/4/2010
179,2,1991910,0,89.53,2.627,211.161,8.099,2010,6,9,22,23,6/9/2010
180,2,2001637,0,85.81,2.637,211.11,8.2,2010,6,18,23,24,6/18/2010
181,2,1939927,0,86.26,2.653,210.995,8.2,2010,6,25,24,25,6/25/2010
182,2,1991254,0,78.77,2.744,210.498,8.2,2010,7,2,25,26,7/2/2010
183,2,2042582,0,71.28,2.835,210.001,8.2,2010,7,7,26,27,7/7/2010
184,2,1845880,0,85.32,2.623,210.758,8.099,2010,7,16,27,28,7/16/2010
185,2,1781718,0,87.66,2.608,210.892,8.099,2010,7,23,28,29,7/23/2010
186,2,1804246,0,83.49,2.64,211.026,8.099,2010,7,30,29,30,7/30/2010
187,2,1838504,0,79.805,2.651,211.188,8.115,2010,8,6,30,31,8/6/2010
188,2,1872761,0,76.12,2.662,211.35,8.131,2010,8,12,31,32,8/12/2010
189,2,1964335,0,88.7,2.664,211.26,8.099,2010,8,20,32,33,8/20/2010
190,2,1863840,0,87.12,2.619,211.224,8.099,2010,8,27,33,34,8/27/2010
191,2,1954689,0,65.41,2.77,210.283,8.2,2010,9,3,34,35,9/3/2010
192,2,1880903,0,82.59,2.642,210.766,8.099,2010,9,8,35,36,9/8/2010
193,2,1793904,0,82.05,2.582,211.181,8.099,2010,9,17,36,37,9/17/2010
194,2,1724557,0,81.79,2.624,211.255,8.099,2010,9,24,37,38,9/24/2010
195,2,1781843,0,80.44,2.594,211.204,8.099,2010,10,1,38,39,10/1/2010
196,2,1839129,1,79.09,2.565,211.153,8.099,2010,10,8,39,40,10/8/2010
197,2,2086541,0,55.65,2.782,211.298,8.163,2010,10,14,40,41,10/14/2010
198,2,1737948,0,68.5,2.725,211.519,8.163,2010,10,22,41,42,10/22/2010
199,2,1802755,0,66.24,2.716,211.566,8.163,2010,10,29,42,43,10/29/2010
200,2,2025539,0,83.4,2.668,211.112,8.2,2010,11,5,43,44,11/5/2010
201,2,1991139,0,67.105,2.72,211.33,8.182,2010,11,12,44,45,11/12/2010
202,2,1956739,0,50.81,2.771,211.547,8.163,2010,11,19,45,46,11/19/2010
203,2,2658725,1,62.98,2.735,211.406,8.163,2010,11,26,46,47,11/26/2010
204,2,2064147,0,48.025,2.608,210.968,8.324,2010,12,2,47,48,12/2/2010
205,2,1916813,0,59.69,2.728,211.661,8.163,2010,12,10,48,49,12/10/2010
206,2,2609167,0,47.55,2.869,211.065,8.163,2010,12,17,49,50,12/17/2010
207,2,3436008,0,49.97,2.886,211.065,8.163,2010,12,24,50,51,12/24/2010
208,2,1750435,1,47.3,2.943,211.065,8.163,2010,12,31,51,52,12/31/2010
209,2,1791821,0,58.93,3.234,212.864,8.027,2010,1,1,52,53,1/1/2010
210,2,1833207,0,70.56,3.524,214.663,7.892,2011,1,6,53,1,1/6/2011
211,2,1744194,0,33.02,2.983,211.118,8.028,2011,1,14,54,2,1/14/2011
212,2,1751385,0,41.4,3.016,211.486,8.028,2011,1,21,55,3,1/21/2011
213,2,1695372,0,42.83,3.01,211.855,8.028,2011,1,28,56,4,1/28/2011
214,2,1788704,0,56.01,3.181,214.38,7.837,2011,2,4,57,5,2/4/2011
215,2,1882036,0,69.19,3.352,216.905,7.646,2011,2,10,58,6,2/10/2011
216,2,2080885,0,57.83,3.045,212.903,8.028,2011,2,18,59,7,2/18/2011
217,2,1833511,0,60.8,3.065,213.19,8.028,2011,2,25,60,8,2/25/2011
218,2,1933756,0,83.07,3.699,214.925,7.931,2011,3,5,61,9,3/5/2011
219,2,1918157,0,72.695,3.593,214.471,7.98,2011,3,11,62,10,3/11/2011
220,2,1902558,0,62.32,3.488,214.016,8.028,2011,3,18,63,11,3/18/2011
221,2,1766162,0,69.42,3.473,214.252,8.028,2011,3,25,64,12,3/25/2011
222,2,1955477,0,48.01,3.138,212.851,8.028,2011,4,2,65,13,4/2/2011
223,2,1931782,0,55.258,3.338,214.532,7.857,2011,4,8,66,14,4/8/2011
224,2,1908088,0,62.505,3.537,216.214,7.686,2011,4,13,67,15,4/13/2011
225,2,1886340,0,69.39,3.807,215.11,7.931,2011,4,22,68,16,4/22/2011
226,2,1745545,0,69.21,3.81,215.277,7.931,2011,4,29,69,17,4/29/2011
227,2,1876704,0,93.34,3.684,215.198,7.852,2011,5,7,70,18,5/7/2011
228,2,1838513,0,74.61,3.899,215.612,7.931,2011,5,13,71,19,5/13/2011
229,2,1688282,0,67.14,3.907,215.383,7.931,2011,5,20,72,20,5/20/2011
230,2,1797733,0,76.42,3.786,215.154,7.931,2011,5,27,73,21,5/27/2011
231,2,1837744,0,61.48,3.906,215.445,7.931,2011,6,4,74,22,6/4/2011
232,2,1895758,0,74.005,3.772,215.048,7.931,2011,6,10,75,23,6/10/2011
233,2,1953772,0,86.53,3.637,214.651,7.931,2011,6,17,76,24,6/17/2011
234,2,1790926,0,85.17,3.594,214.744,7.931,2011,6,24,77,25,6/24/2011
235,2,1758051,0,44.69,2.976,211.065,8.028,2011,7,1,78,26,7/1/2011
236,2,1837553,0,69.92,3.285,216.696,7.441,2011,7,9,79,27,7/9/2011
237,2,1785187,0,89.83,3.575,215.013,7.852,2011,7,15,80,28,7/15/2011
238,2,1743816,0,89.34,3.651,215.075,7.852,2011,7,22,81,29,7/22/2011
239,2,1680693,0,90.07,3.682,215.136,7.852,2011,7,29,82,30,7/29/2011
240,2,1850357,0,77.35,3.551,214.827,7.892,2011,8,5,83,31,8/5/2011
241,2,1847226,0,83.605,3.552,215.075,7.872,2011,8,12,84,32,8/12/2011
242,2,1844095,0,89.86,3.554,215.323,7.852,2011,8,19,85,33,8/19/2011
243,2,1821140,0,90.45,3.523,215.387,7.852,2011,8,26,86,34,8/26/2011
244,2,1784570,0,84.21,3.534,215.451,7.852,2011,9,2,87,35,9/2/2011
245,2,1748001,1,77.97,3.546,215.515,7.852,2011,9,9,88,36,9/9/2011
246,2,1990994,0,60.305,3.342,217.15,7.646,2011,9,14,89,37,9/14/2011
247,2,1669300,0,75.58,3.467,216.028,7.852,2011,9,23,90,38,9/23/2011
248,2,1650394,0,78.14,3.355,216.362,7.852,2011,9,30,91,39,9/30/2011
249,2,1929153,0,83.4,3.648,214.696,7.931,2011,10,6,92,40,10/6/2011
250,2,1743882,0,71.67,3.274,217.005,7.441,2011,10,14,93,41,10/14/2011
251,2,1834680,0,64.53,3.353,217.165,7.441,2011,10,21,94,42,10/21/2011
252,2,1769296,0,65.87,3.372,217.325,7.441,2011,10,28,95,43,10/28/2011
253,2,2023574,0,42.945,3.24,213.179,8.028,2011,11,3,96,44,11/3/2011
254,2,1920725,0,59.33,3.297,217.646,7.441,2011,11,11,97,45,11/11/2011
255,2,1902762,0,62.01,3.308,217.867,7.441,2011,11,18,98,46,11/18/2011
256,2,2614202,1,56.36,3.236,218.113,7.441,2011,11,25,99,47,11/25/2011
257,2,2213485,0,73.97,3.437,216.686,7.646,2011,12,2,100,48,12/2/2011
258,2,1812768,0,91.58,3.638,215.259,7.852,2011,12,8,101,49,12/8/2011
259,2,2432737,0,50.13,3.159,218.822,7.441,2011,12,16,102,50,12/16/2011
260,2,3224370,0,46.66,3.112,219,7.441,2011,12,23,103,51,12/23/2011
261,2,1874227,1,44.57,3.129,219.177,7.441,2011,12,30,104,52,12/30/2011
262,2,1910092,0,78.38,3.501,221.385,6.891,2012,1,6,105,1,1/6/2012
263,2,1744725,0,45.99,3.261,219.533,7.057,2012,1,13,106,2,1/13/2012
264,2,1711769,0,51.7,3.268,219.626,7.057,2012,1,20,107,3,1/20/2012
265,2,1660906,0,50.5,3.29,219.719,7.057,2012,1,27,108,4,1/27/2012
266,2,1952556,0,58.79,3.63,220.487,7.057,2012,2,3,109,5,2/3/2012
267,2,2074622,0,51.305,3.57,220.276,7.057,2012,2,10,110,6,2/10/2012
268,2,2196688,0,43.82,3.51,220.065,7.057,2012,2,17,111,7,2/17/2012
269,2,1861803,0,54.63,3.555,220.276,7.057,2012,2,24,112,8,2/24/2012
270,2,1935300,0,55.21,3.36,219.812,7.057,2012,3,2,113,9,3/2/2012
271,2,1946105,0,90.22,3.417,221.587,6.565,2012,3,8,114,10,3/8/2012
272,2,1976082,0,63.68,3.734,220.85,7.057,2012,3,16,115,11,3/16/2012
273,2,1790439,0,64.01,3.787,220.924,7.057,2012,3,23,116,12,3/23/2012
274,2,1857481,0,66.83,3.845,220.999,7.057,2012,3,30,117,13,3/30/2012
275,2,1923957,0,76.73,3.749,221.31,6.891,2012,4,5,118,14,4/5/2012
276,2,1935869,0,68.08,3.891,221.148,6.891,2012,4,13,119,15,4/13/2012
277,2,1847344,0,65.69,3.877,221.202,6.891,2012,4,20,120,16,4/20/2012
278,2,1764133,0,67.2,3.814,221.256,6.891,2012,4,27,121,17,4/27/2012
279,2,1881227,0,68.735,3.716,222.036,6.53,2012,5,4,122,18,5/4/2012
280,2,1998321,0,70.27,3.617,222.816,6.17,2012,5,10,123,19,5/10/2012
281,2,2000941,0,71.27,3.63,221.38,6.891,2012,5,18,124,20,5/18/2012
282,2,1912791,0,78.19,3.561,221.383,6.891,2012,5,25,125,21,5/25/2012
283,2,1799520,0,46.75,3.157,219.355,7.057,2012,6,1,126,22,6/1/2012
284,2,2085272,0,76.315,3.559,221.298,6.728,2012,6,6,127,23,6/6/2012
285,2,1962924,0,80.56,3.393,221.401,6.891,2012,6,15,128,24,6/15/2012
286,2,1887733,0,81.04,3.346,221.441,6.891,2012,6,22,129,25,6/22/2012
287,2,1881046,0,86.32,3.286,221.481,6.891,2012,6,29,130,26,6/29/2012
288,2,1872736,0,85.115,3.39,221.65,6.728,2012,7,6,131,27,7/6/2012
289,2,1864426,0,83.91,3.493,221.818,6.565,2012,7,11,132,28,7/11/2012
290,2,1819666,0,83.23,3.311,221.57,6.565,2012,7,20,133,29,7/20/2012
291,2,1757924,0,86.37,3.407,221.579,6.565,2012,7,27,134,30,7/27/2012
292,2,1884070,0,82.53,3.43,221.483,6.728,2012,8,3,135,31,8/3/2012
293,2,2010216,0,78.69,3.452,221.388,6.891,2012,8,8,136,32,8/8/2012
294,2,1928016,0,84.79,3.571,221.675,6.565,2012,8,17,137,33,8/17/2012
295,2,1876788,0,76.91,3.62,221.808,6.565,2012,8,24,138,34,8/24/2012
296,2,1947083,0,82.64,3.638,221.942,6.565,2012,8,31,139,35,8/31/2012
297,2,1937628,0,57.11,3.669,220.697,7.057,2012,9,5,140,36,9/5/2012
298,2,1814807,0,75.88,3.717,222.217,6.565,2012,9,14,141,37,9/14/2012
299,2,1829416,0,71.09,3.721,222.417,6.565,2012,9,21,142,38,9/21/2012
300,2,1746471,0,79.45,3.666,222.616,6.565,2012,9,28,143,39,9/28/2012
301,2,2103323,1,46.98,3.409,219.905,7.057,2012,10,3,144,40,10/3/2012
302,2,1866720,0,88.55,3.494,221.595,6.565,2012,10,10,145,41,10/10/2012
303,2,1847990,0,68.08,3.594,223.06,6.17,2012,10,19,146,42,10/19/2012
304,2,1834458,0,69.79,3.506,223.078,6.17,2012,10,26,147,43,10/26/2012
305,2,1875990,0,71.83,3.597,222.221,6.53,2012,11,2,148,44,11/2/2012
306,2,1917521,0,73.87,3.688,221.363,6.891,2012,11,7,149,45,11/7/2012
307,2,1914166,0,71.29,3.671,221.694,6.747,2012,11,16,150,46,11/16/2012
308,2,1910811,0,68.71,3.653,222.024,6.603,2012,11,23,151,47,11/23/2012
309,2,1907455,0,66.13,3.636,222.355,6.458,2012,11,30,152,48,11/30/2012
310,2,1904100,0,63.55,3.618,222.685,6.314,2012,12,7,153,49,12/7/2012
311,2,1900745,0,60.97,3.601,223.015,6.17,2012,12,12,154,50,12/12/2012
312,2,1900745,0,60.97,3.601,223.015,6.17,2012,12,21,155,51,12/21/2012
313,2,1900745,0,60.97,3.601,223.015,6.17,2012,12,28,157,52,12/28/2012
314,3,358784,0,73.6,2.603,214.985,7.564,2010,1,9,0,1,1/9/2010
